id,name,item_type,rare,base,enemy,week,num
82,整合の歯車,field,1,整合の歯車,クロックワーク・マシナリー,,681
83,機構の平歯車,field,2,整合の歯車,クロックワーク・マシナリー,,145
84,奇械のコア歯車,field,3,整合の歯車,クロックワーク・マシナリー,,27
85,濁水のひとしずく,field,1,濁水のひとしずく,濁水幻霊,,798
86,濁水のひとすくい,field,2,濁水のひとしずく,濁水幻霊,,129
87,生まれたての濁水幻霊,field,3,濁水のひとしずく,濁水幻霊,,26
88,隙間のコア,field,1,隙間のコア,ブリチャープリムス,,424
89,外界のシナプス,field,2,隙間のコア,ブリチャープリムス,,47
90,異界生命体のコア,field,3,隙間のコア,ブリチャープリムス,,17
91,古びた従者の懐中時計,field,1,古びた従者の懐中時計,ファデュイ・従者,,153
92,従者の制式懐中時計,field,2,古びた従者の懐中時計,ファデュイ・従者,,27
93,従者の時々刻々,field,3,古びた従者の懐中時計,ファデュイ・従者,,11
94,翼状の羽鰭,field,1,翼状の羽鰭,玄文獣,,112
95,月光の羽鰭,field,2,翼状の羽鰭,玄文獣,,32
96,淵光の羽鰭,field,3,翼状の羽鰭,玄文獣,,9
97,東風の羽根,weekly_boss,1,東風の羽根,風魔龍,,13
98,東風の爪,weekly_boss,1,東風の爪,風魔龍,,4
99,東風の吐息,weekly_boss,1,東風の吐息,風魔龍,,25
100,北風のしっぽ,weekly_boss,1,北風のしっぽ,北風の狼,,6
101,北風のリング,weekly_boss,1,北風のリング,北風の狼,,15
102,北風の魂箱,weekly_boss,1,北風の魂箱,北風の狼,,17
103,呑天の鯨・只角,weekly_boss,1,呑天の鯨・只角,公子,,17
104,魔王の刃・残片,weekly_boss,1,魔王の刃・残片,公子,,7
105,武煉の魂・孤影,weekly_boss,1,武煉の魂・孤影,公子,,16
106,龍王の冠,weekly_boss,1,龍王の冠,若陀龍王,,6
107,血玉の枝,weekly_boss,1,血玉の枝,若陀龍王,,9
108,鍍金の鏻,weekly_boss,1,鍍金の鏻,若陀龍王,,14
109,溶滅の刻,weekly_boss,1,溶滅の刻,淑女,,9
110,獄炎の蝶,weekly_boss,1,獄炎の蝶,淑女,,10
111,灰燼の心,weekly_boss,1,灰燼の心,淑女,,16
112,凶将の手眼,weekly_boss,1,凶将の手眼,永遠の守護者,,9
113,禍神の禊涙,weekly_boss,1,禍神の禊涙,永遠の守護者,,10
114,万劫の真意,weekly_boss,1,万劫の真意,永遠の守護者,,18
115,傀儡の糸,weekly_boss,1,傀儡の糸,正機の神,,7
116,無心の淵鏡,weekly_boss,1,無心の淵鏡,正機の神,,13
117,空行の虚鈴,weekly_boss,1,空行の虚鈴,正機の神,,10
118,天地に生える蕨,weekly_boss,1,天地に生える蕨,アペプのオアシス守護者,,25
119,原初のオアシスの初咲き,weekly_boss,1,原初のオアシスの初咲き,アペプのオアシス守護者,,8
120,太古の樹海の一瞬,weekly_boss,1,太古の樹海の一瞬,アペプのオアシス守護者,,8
121,光なき糸,weekly_boss,1,光なき糸,呑星の鯨,,0
122,光なき渦の眼,weekly_boss,1,光なき渦の眼,呑星の鯨,,7
123,光なき一塊,weekly_boss,1,光なき一塊,呑星の鯨,,6
124,暴風の種,boss,1,暴風の種,無相の風,,49
125,雷光のプリズム,boss,1,雷光のプリズム,無相の雷,,2
126,玄岩の塔,boss,1,玄岩の塔,無相の岩,,2
127,極寒のコア,boss,1,極寒のコア,急凍樹,,31
128,常燃の火種,boss,1,常燃の火種,爆炎樹,,58
129,浄水の心,boss,1,浄水の心,純水精霊,,32
130,未熟の玉石,boss,1,未熟の玉石,エンシェントヴィシャップ,,2
131,凝結の華,boss,1,凝結の華,無相の氷,,1
132,魔偶の芯,boss,1,魔偶の芯,魔偶剣鬼,,2
133,恒常からくりの芯,boss,1,恒常からくりの芯,恒常からくり陣形,,46
134,陰燃の珠,boss,1,陰燃の珠,無相の炎,,22
135,排他の露,boss,1,排他の露,無相の水,,71
136,雷霆の念珠,boss,1,雷霆の念珠,雷音権現,,1
137,獣域王器,boss,1,獣域王器,黄金王獣,,2
138,ドラゴエアのニセヒレ,boss,1,ドラゴエアのニセヒレ,アビサルヴィシャップの群れ,,31
139,符文の歯車,boss,1,符文の歯車,遺跡サーペント,,6
140,茸王の鉤状のくちばし,boss,1,茸王の鉤状のくちばし,マッシュラプトル,,76
141,隠雷の実,boss,1,隠雷の実,迅雷樹,,25
142,永続コア,boss,1,永続コア,兆載永劫ドレイク,,19
143,導光四面体,boss,1,導光四面体,半永久統制マトリックス,,2
144,滅諍の蔓,boss,1,滅諍の蔓,無相の草,,50
145,蒼礫蕊羽,boss,1,蒼礫蕊羽,風蝕ウェネト,,7
146,奇械部品・コッペリア,boss,1,奇械部品・コッペリア,氷風組曲,,1
147,奇械部品・コペリウス,boss,1,奇械部品・コペリウス,氷風組曲,,1
148,帝王の決断,boss,1,帝王の決断,鉄甲熔炎帝王,,16
149,トゥールビヨン装置,boss,1,トゥールビヨン装置,実験用フィールド生成装置,,1
150,原海駿の角,boss,1,原海駿の角,千年真珠の海駿,,4
151,超越に至らぬ水,boss,1,超越に至らぬ水,水形タルパ,,2
152,凝雲の鱗甲,boss,1,凝雲の鱗甲,山隠れの猊獣,,2
153,最勝のアゲート・砕屑,stone,1,アゲート,,,32
154,最勝のアゲート・欠片,stone,2,アゲート,,,20
155,最勝のアゲート・塊,stone,3,アゲート,,,3
156,最勝のアゲート,stone,4,アゲート,,,6
157,最勝のラピスラズリ・砕屑,stone,1,ラピスラズリ,,,47
158,最勝のラピスラズリ・欠片,stone,2,ラピスラズリ,,,30
159,最勝のラピスラズリ・塊,stone,3,ラピスラズリ,,,14
160,最勝のラピスラズリ,stone,4,ラピスラズリ,,,16
161,成長のエメラルド・砕屑,stone,1,エメラルド,,,22
162,成長のエメラルド・欠片,stone,2,エメラルド,,,12
163,成長のエメラルド・塊,stone,3,エメラルド,,,1
164,成長のエメラルド,stone,4,エメラルド,,,0
165,最勝のアメシスト・砕屑,stone,1,アメシスト,,,29
166,最勝のアメシスト・欠片,stone,2,アメシスト,,,25
167,最勝のアメシスト・塊,stone,3,アメシスト,,,11
168,最勝のアメシスト,stone,4,アメシスト,,,10
169,最勝のターコイズ・砕屑,stone,1,ターコイズ,,,56
170,最勝のターコイズ・欠片,stone,2,ターコイズ,,,48
171,最勝のターコイズ・塊,stone,3,ターコイズ,,,11
172,最勝のターコイズ,stone,4,ターコイズ,,,0
173,最勝のアイスクリスタル・砕屑,stone,1,アイスクリスタル,,,42
174,最勝のアイスクリスタル・欠片,stone,2,アイスクリスタル,,,50
175,最勝のアイスクリスタル・塊,stone,3,アイスクリスタル,,,15
176,最勝のアイスクリスタル,stone,4,アイスクリスタル,,,9
177,最勝のトパーズ・砕屑,stone,1,トパーズ,,,21
178,最勝のトパーズ・欠片,stone,2,トパーズ,,,14
179,最勝のトパーズ・塊,stone,3,トパーズ,,,3
180,最勝のトパーズ,stone,4,トパーズ,,,0
181,自由の教え,book,1,自由,,月木,17
182,自由の導き,book,2,自由,,月木,52
183,自由の哲学,book,3,自由,,月木,28
184,抗争の教え,book,1,抗争,,火金,14
185,抗争の導き,book,2,抗争,,火金,6
186,抗争の哲学,book,3,抗争,,火金,9
187,詩文の教え,book,1,詩文,,水土,35
188,詩文の導き,book,2,詩文,,水土,46
189,詩文の哲学,book,3,詩文,,水土,10
190,繁栄の教え,book,1,繁栄,,月木,48
191,繁栄の導き,book,2,繁栄,,月木,222
192,繁栄の哲学,book,3,繁栄,,月木,69
193,勤労の教え,book,1,勤労,,火金,18
194,勤労の導き,book,2,勤労,,火金,69
195,勤労の哲学,book,3,勤労,,火金,28
196,黄金の教え,book,1,黄金,,水土,14
197,黄金の導き,book,2,黄金,,水土,20
198,黄金の哲学,book,3,黄金,,水土,3
199,浮世の教え,book,1,浮世,,月木,6
200,浮世の導き,book,2,浮世,,月木,0
201,浮世の哲学,book,3,浮世,,月木,0
202,風雅の教え,book,1,風雅,,火金,39
203,風雅の導き,book,2,風雅,,火金,140
204,風雅の哲学,book,3,風雅,,火金,45
205,天光の教え,book,1,天光,,水土,26
206,天光の導き,book,2,天光,,水土,63
207,天光の哲学,book,3,天光,,水土,20
208,忠言の教え,book,1,忠言,,月木,18
209,忠言の導き,book,2,忠言,,月木,112
210,忠言の哲学,book,3,忠言,,月木,50
211,創意の教え,book,1,創意,,火金,4
212,創意の導き,book,2,創意,,火金,8
213,創意の哲学,book,3,創意,,火金,20
214,篤行の教え,book,1,篤行,,水土,14
215,篤行の導き,book,2,篤行,,水土,45
216,篤行の哲学,book,3,篤行,,水土,22
217,公平の教え,book,1,公平,,月木,7
218,公平の導き,book,2,公平,,月木,21
219,公平の哲学,book,3,公平,,月木,8
220,正義の教え,book,1,正義,,火金,20
221,正義の導き,book,2,正義,,火金,44
222,正義の哲学,book,3,正義,,火金,9
223,秩序の教え,book,1,秩序,,水土,45
224,秩序の導き,book,2,秩序,,水土,67
225,秩序の哲学,book,3,秩序,,水土,26
226,知恵の冠,special,1,知恵の冠,,,16
227,高塔の王の瓦,weapon,1,高塔の王,,月木,6
228,高塔の王の残壁,weapon,2,高塔の王,,月木,6
229,高塔の王の断片,weapon,3,高塔の王,,月木,0
230,高塔の王の砕けた夢,weapon,4,高塔の王,,月木,0
231,凛風奔狼の乳歯,weapon,1,凛風奔狼,,火金,4
232,凛風奔狼の砕牙,weapon,2,凛風奔狼,,火金,11
233,凛風奔狼の断牙,weapon,3,凛風奔狼,,火金,15
234,凛風奔狼の郷愁,weapon,4,凛風奔狼,,火金,8
235,獅牙戦士の枷,weapon,1,獅牙戦士,,水土,27
236,獅牙戦士の鎖,weapon,2,獅牙戦士,,水土,30
237,獅牙戦士の手錠,weapon,3,獅牙戦士,,水土,7
238,獅牙戦士の理想,weapon,4,獅牙戦士,,水土,0
239,孤雲寒林の光砂,weapon,1,孤雲寒林,,月木,4
240,孤雲寒林の輝岩,weapon,2,孤雲寒林,,月木,10
241,孤雲寒林の聖骸,weapon,3,孤雲寒林,,月木,9
242,孤雲寒林の神体,weapon,4,孤雲寒林,,月木,4
243,霧海雲間の鉛丹,weapon,1,霧海雲間,,火金,6
244,霧海雲間の水銀,weapon,2,霧海雲間,,火金,9
245,霧海雲間の金丹,weapon,3,霧海雲間,,火金,11
246,霧海雲間の転還,weapon,4,霧海雲間,,火金,6
247,漆黒の隕鉄の一粒,weapon,1,漆黒の隕鉄,,水土,3
248,漆黒の隕鉄の一片,weapon,2,漆黒の隕鉄,,水土,19
249,漆黒の隕鉄の一角,weapon,3,漆黒の隕鉄,,水土,1
250,漆黒の隕鉄の塊,weapon,4,漆黒の隕鉄,,水土,2
251,遠海夷地の瑚枝,weapon,1,遠海夷地,,月木,2
252,遠海夷地の石枝,weapon,2,遠海夷地,,月木,2
253,遠海夷地の玉枝,weapon,3,遠海夷地,,月木,0
254,遠海夷地の金枝,weapon,4,遠海夷地,,月木,1
255,鳴神御霊の恩恵,weapon,1,鳴神御霊,,火金,2
256,鳴神御霊の歓喜,weapon,2,鳴神御霊,,火金,2
257,鳴神御霊の親愛,weapon,3,鳴神御霊,,火金,1
258,鳴神御霊の勇武,weapon,4,鳴神御霊,,火金,0
259,今昔劇画の悪尉,weapon,1,今昔劇画,,水土,10
260,今昔劇画の虎牙,weapon,2,今昔劇画,,水土,14
261,今昔劇画の隻角,weapon,3,今昔劇画,,水土,15
262,今昔劇画の鬼人,weapon,4,今昔劇画,,水土,6
263,静謐な森のしずくの銅符,weapon,1,静謐な森のしずく,,月木,13
264,静謐な森のしずくの鉄符,weapon,2,静謐な森のしずく,,月木,4
265,静謐な森のしずくの銀符,weapon,3,静謐な森のしずく,,月木,0
266,静謐な森のしずくの金符,weapon,4,静謐な森のしずく,,月木,0
267,オアシスガーデンの追憶,weapon,1,オアシスガーデン,,火金,5
268,オアシスガーデンの恩恵,weapon,2,オアシスガーデン,,火金,2
269,オアシスガーデンの哀思,weapon,3,オアシスガーデン,,火金,0
270,オアシスガーデンの真諦,weapon,4,オアシスガーデン,,火金,0
271,烈日権威の残響,weapon,1,烈日権威,,水土,6
272,烈日権威の残光,weapon,2,烈日権威,,水土,15
273,烈日権威の夢想,weapon,3,烈日権威,,水土,15
274,烈日権威の往日,weapon,4,烈日権威,,水土,8
275,悠久の弦の残章,weapon,1,悠久の弦,,月木,2
276,悠久の弦の断章,weapon,2,悠久の弦,,月木,24
277,悠久の弦の楽章,weapon,3,悠久の弦,,月木,6
278,悠久の弦の響き,weapon,4,悠久の弦,,月木,1
279,純聖な雫の濾滓,weapon,1,純聖な雫,,火金,2
280,純聖な雫の昇華,weapon,2,純聖な雫,,火金,28
281,純聖な雫の甘泉,weapon,3,純聖な雫,,火金,2
282,純聖な雫の精髄,weapon,4,純聖な雫,,火金,0
283,無垢な海の苦杯,weapon,1,無垢な海,,水土,1
284,無垢な海の酒盃,weapon,2,無垢な海,,水土,49
285,無垢な海の銀盃,weapon,3,無垢な海,,水土,7
286,無垢な海の金盃,weapon,4,無垢な海,,水土,0
287,ググプラム,specialty,1,ググプラム,,,130
288,ヴァルベリー,specialty,1,ヴァルベリー,,,44
289,セシリアの花,specialty,1,セシリアの花,,,43
290,風車アスター,specialty,1,風車アスター,,,277
291,暴風のマッシュルーム,specialty,1,暴風のマッシュルーム,,,25
292,イグサ,specialty,1,イグサ,,,145
293,ドドリアン,specialty,1,ドドリアン,,,160
294,蒲公英の種,specialty,1,蒲公英の種,,,24
295,絶雲の唐辛子,specialty,1,絶雲の唐辛子,,,386
296,夜泊石,specialty,1,夜泊石,,,205
297,霓裳花,specialty,1,霓裳花,,,99
298,琉璃百合,specialty,1,琉璃百合,,,173
299,清心,specialty,1,清心,,,374
300,星螺,specialty,1,星螺,,,56
301,琉璃袋,specialty,1,琉璃袋,,,174
302,石珀,specialty,1,石珀,,,78
303,清水玉,specialty,1,清水玉,,,13
304,オニカブトムシ,specialty,1,オニカブトムシ,,,54
305,緋櫻毬,specialty,1,緋櫻毬,,,230
306,晶化骨髄,specialty,1,晶化骨髄,,,32
307,血石華,specialty,1,血石華,,,54
308,鳴草,specialty,1,鳴草,,,154
309,ウミレイシ,specialty,1,ウミレイシ,,,258
310,珊瑚真珠,specialty,1,珊瑚真珠,,,89
311,天雲草の実,specialty,1,天雲草の実,,,172
312,ユウトウタケ,specialty,1,ユウトウタケ,,,83
313,ルッカデヴァータダケ,specialty,1,ルッカデヴァータダケ,,,39
314,パティサラ,specialty,1,パティサラ,,,192
315,サウマラタ蓮,specialty,1,サウマラタ蓮,,,249
316,カルパラタ蓮,specialty,1,カルパラタ蓮,,,27
317,赤念の実,specialty,1,赤念の実,,,172
318,砂脂蛹,specialty,1,砂脂蛹,,,63
319,悼霊花,specialty,1,悼霊花,,,47
320,サングイト,specialty,1,サングイト,,,12
321,聖金虫,specialty,1,聖金虫,,,40
322,蒼晶螺,specialty,1,蒼晶螺,,,62
323,ロマリタイムフラワー,specialty,1,ロマリタイムフラワー,,,257
324,ルミドゥースベル,specialty,1,ルミドゥースベル,,,433
325,レインボーローズ,specialty,1,レインボーローズ,,,268
326,ルエトワール,specialty,1,ルエトワール,,,157
327,湖光の鈴蘭,specialty,1,湖光の鈴蘭,,,55
328,探測ユニット・子機,specialty,1,探測ユニット・子機,,,43
329,初露の源,specialty,1,初露の源,,,38
